rank,component_id,group,score,direction,bbox_r0,bbox_c0,bbox_r1,bbox_c1,centroid_row_jpg,centroid_col_jpg,tifxyz_boundary_distance_px,tifxyz_invalid_overlap_fraction,tifxyz_touches_invalid_boundary,threshold,render_bg_min_distance_px,render_bg_overlap_fraction,bbox_near_black_fraction,any_dark_min_distance_px,touches_render_bg,stable_across_thresholds
5,215,suspected_black_edge,0.181901,vertical,718,8539,790,8541,1509.14,17079.43,206.342,0.0,False,1,0.0,0.894977,0.90411,0.0,True,True
5,215,suspected_black_edge,0.181901,vertical,718,8539,790,8541,1509.14,17079.43,206.342,0.0,False,4,0.0,0.913242,0.922374,0.0,True,True
5,215,suspected_black_edge,0.181901,vertical,718,8539,790,8541,1509.14,17079.43,206.342,0.0,False,8,0.0,0.931507,0.931507,0.0,True,True
5,215,suspected_black_edge,0.181901,vertical,718,8539,790,8541,1509.14,17079.43,206.342,0.0,False,12,0.0,0.931507,0.931507,0.0,True,True
5,215,suspected_black_edge,0.181901,vertical,718,8539,790,8541,1509.14,17079.43,206.342,0.0,False,16,0.0,0.940639,0.940639,0.0,True,True
5,215,suspected_black_edge,0.181901,vertical,718,8539,790,8541,1509.14,17079.43,206.342,0.0,False,24,0.0,0.945205,0.945205,0.0,True,True
5,215,suspected_black_edge,0.181901,vertical,718,8539,790,8541,1509.14,17079.43,206.342,0.0,False,32,0.0,0.949772,0.949772,0.0,True,True
6,1064,suspected_black_edge,0.180722,vertical,2717,8579,2822,8583,5539.69,17162.9,274.536,0.0,False,1,0.0,0.681132,0.703774,0.0,True,True
6,1064,suspected_black_edge,0.180722,vertical,2717,8579,2822,8583,5539.69,17162.9,274.536,0.0,False,4,0.0,0.7,0.732075,0.0,True,True
6,1064,suspected_black_edge,0.180722,vertical,2717,8579,2822,8583,5539.69,17162.9,274.536,0.0,False,8,0.0,0.703774,0.739623,0.0,True,True
6,1064,suspected_black_edge,0.180722,vertical,2717,8579,2822,8583,5539.69,17162.9,274.536,0.0,False,12,0.0,0.716981,0.758491,0.0,True,True
6,1064,suspected_black_edge,0.180722,vertical,2717,8579,2822,8583,5539.69,17162.9,274.536,0.0,False,16,0.0,0.728302,0.777358,0.0,True,True
6,1064,suspected_black_edge,0.180722,vertical,2717,8579,2822,8583,5539.69,17162.9,274.536,0.0,False,24,0.0,0.798113,0.801887,0.0,True,True
6,1064,suspected_black_edge,0.180722,vertical,2717,8579,2822,8583,5539.69,17162.9,274.536,0.0,False,32,0.0,0.828302,0.828302,0.0,True,True
7,566,interior_control,0.178003,vertical,1702,10951,1809,10955,3508.89,21906.85,787.61,0.0,False,1,662.048,0.0,0.024074,0.0,False,True
7,566,interior_control,0.178003,vertical,1702,10951,1809,10955,3508.89,21906.85,787.61,0.0,False,4,662.048,0.0,0.035185,0.0,False,True
7,566,interior_control,0.178003,vertical,1702,10951,1809,10955,3508.89,21906.85,787.61,0.0,False,8,662.048,0.0,0.038889,0.0,False,True
7,566,interior_control,0.178003,vertical,1702,10951,1809,10955,3508.89,21906.85,787.61,0.0,False,12,662.048,0.0,0.038889,0.0,False,True
7,566,interior_control,0.178003,vertical,1702,10951,1809,10955,3508.89,21906.85,787.61,0.0,False,16,661.653,0.0,0.044444,0.0,False,True
7,566,interior_control,0.178003,vertical,1702,10951,1809,10955,3508.89,21906.85,787.61,0.0,False,24,660.734,0.0,0.048148,0.0,False,True
7,566,interior_control,0.178003,vertical,1702,10951,1809,10955,3508.89,21906.85,787.61,0.0,False,32,660.734,0.0,0.057407,0.0,False,True
8,795,suspected_black_edge,0.172064,horizontal,2105,240,2107,282,4211.77,515.6,117.098,0.0,False,1,0.0,0.635659,0.635659,0.0,True,True
8,795,suspected_black_edge,0.172064,horizontal,2105,240,2107,282,4211.77,515.6,117.098,0.0,False,4,0.0,0.651163,0.651163,0.0,True,True
8,795,suspected_black_edge,0.172064,horizontal,2105,240,2107,282,4211.77,515.6,117.098,0.0,False,8,0.0,0.666667,0.666667,0.0,True,True
8,795,suspected_black_edge,0.172064,horizontal,2105,240,2107,282,4211.77,515.6,117.098,0.0,False,12,0.0,0.666667,0.666667,0.0,True,True
8,795,suspected_black_edge,0.172064,horizontal,2105,240,2107,282,4211.77,515.6,117.098,0.0,False,16,0.0,0.666667,0.666667,0.0,True,True
8,795,suspected_black_edge,0.172064,horizontal,2105,240,2107,282,4211.77,515.6,117.098,0.0,False,24,0.0,0.674419,0.682171,0.0,True,True
8,795,suspected_black_edge,0.172064,horizontal,2105,240,2107,282,4211.77,515.6,117.098,0.0,False,32,0.0,0.674419,0.682171,0.0,True,True
10,965,suspected_black_edge,0.170168,vertical,2397,4690,2458,4694,4859.52,9383.31,647.0,0.0,False,1,0.0,0.177419,0.183871,0.0,True,True
10,965,suspected_black_edge,0.170168,vertical,2397,4690,2458,4694,4859.52,9383.31,647.0,0.0,False,4,0.0,0.193548,0.193548,0.0,True,True
10,965,suspected_black_edge,0.170168,vertical,2397,4690,2458,4694,4859.52,9383.31,647.0,0.0,False,8,0.0,0.206452,0.206452,0.0,True,True
10,965,suspected_black_edge,0.170168,vertical,2397,4690,2458,4694,4859.52,9383.31,647.0,0.0,False,12,0.0,0.206452,0.206452,0.0,True,True
10,965,suspected_black_edge,0.170168,vertical,2397,4690,2458,4694,4859.52,9383.31,647.0,0.0,False,16,0.0,0.206452,0.206452,0.0,True,True
10,965,suspected_black_edge,0.170168,vertical,2397,4690,2458,4694,4859.52,9383.31,647.0,0.0,False,24,0.0,0.212903,0.212903,0.0,True,True
10,965,suspected_black_edge,0.170168,vertical,2397,4690,2458,4694,4859.52,9383.31,647.0,0.0,False,32,0.0,0.219355,0.219355,0.0,True,True
11,690,interior_control,0.168743,horizontal,1999,10299,2000,10367,3998.94,20665.06,984.403,0.0,False,1,980.691,0.0,0.0,20.0,False,True
11,690,interior_control,0.168743,horizontal,1999,10299,2000,10367,3998.94,20665.06,984.403,0.0,False,4,980.691,0.0,0.0,20.0,False,True
11,690,interior_control,0.168743,horizontal,1999,10299,2000,10367,3998.94,20665.06,984.403,0.0,False,8,980.691,0.0,0.0,20.0,False,True
11,690,interior_control,0.168743,horizontal,1999,10299,2000,10367,3998.94,20665.06,984.403,0.0,False,12,980.691,0.0,0.0,20.0,False,True
11,690,interior_control,0.168743,horizontal,1999,10299,2000,10367,3998.94,20665.06,984.403,0.0,False,16,980.691,0.0,0.0,20.0,False,True
11,690,interior_control,0.168743,horizontal,1999,10299,2000,10367,3998.94,20665.06,984.403,0.0,False,24,980.34,0.0,0.0,20.0,False,True
11,690,interior_control,0.168743,horizontal,1999,10299,2000,10367,3998.94,20665.06,984.403,0.0,False,32,980.34,0.0,0.0,20.0,False,True
