component_id,raw_rank,raw_score,overlap,background_distance_px,touches_render_background,half_score,half_rank,full_score,full_rank,hard_020_rank,calibration_group
244,1,0.200628,0.000000,134.833,False,0.200628,1,0.200628,1,1,unlabelled
391,2,0.186059,0.000000,643.453,False,0.186059,2,0.186059,2,2,unlabelled
934,3,0.185157,0.000000,90.427,False,0.185157,3,0.185157,3,3,unlabelled
924,4,0.182775,0.000000,534.000,False,0.182775,4,0.182775,4,4,unlabelled
215,5,0.181901,0.929032,0.000,True,0.097405,176,0.012909,198,143,known_background
1064,6,0.180722,0.835938,0.000,True,0.105186,168,0.029650,189,144,known_background
566,7,0.178003,0.000000,661.653,False,0.178003,5,0.178003,5,5,interior_control
795,8,0.172064,0.600000,0.000,True,0.120445,151,0.068826,165,145,known_background
923,9,0.171302,0.000000,180.580,False,0.171302,6,0.171302,6,6,unlabelled
965,10,0.170168,0.240385,0.000,True,0.149715,58,0.129262,140,146,known_background
690,11,0.168743,0.000000,981.041,False,0.168743,7,0.168743,7,7,interior_control
507,12,0.168584,0.000000,550.215,False,0.168584,8,0.168584,8,8,unlabelled
605,13,0.168280,0.000000,264.518,False,0.168280,9,0.168280,9,9,unlabelled
533,14,0.167543,0.000000,798.448,False,0.167543,10,0.167543,10,10,unlabelled
638,15,0.166563,0.000000,53.000,False,0.166563,11,0.166563,11,11,ambiguous
78,16,0.166419,0.654206,0.000,True,0.111983,156,0.057547,172,147,known_background
1150,17,0.165786,0.000000,48.000,False,0.165786,12,0.165786,12,12,unlabelled
457,18,0.165157,0.915670,0.000,True,0.089542,190,0.013928,197,148,known_background
300,19,0.163321,0.000000,147.231,False,0.163321,13,0.163321,13,13,unlabelled
511,20,0.162295,0.000000,936.090,False,0.162295,14,0.162295,14,14,unlabelled
436,21,0.162016,0.000000,436.657,False,0.162016,15,0.162016,15,15,unlabelled
156,22,0.162000,0.000000,76.000,False,0.162000,16,0.162000,16,16,unlabelled
818,23,0.161861,0.000000,562.648,False,0.161861,17,0.161861,17,17,unlabelled
1008,24,0.161791,0.000000,380.337,False,0.161791,18,0.161791,18,18,unlabelled
65,25,0.161608,0.170455,0.000,True,0.147835,68,0.134061,134,19,unlabelled
1093,26,0.161283,0.000000,196.840,False,0.161283,19,0.161283,19,20,unlabelled
862,27,0.160631,0.831579,0.000,True,0.093842,183,0.027054,192,149,unlabelled
121,28,0.160618,0.793103,0.000,True,0.096925,178,0.033231,187,150,unlabelled
602,29,0.160462,0.003690,0.000,True,0.160166,20,0.159870,20,21,unlabelled
723,30,0.159619,0.000000,946.000,False,0.159619,21,0.159619,21,22,unlabelled
309,31,0.159513,0.000000,930.059,False,0.159513,22,0.159513,22,23,unlabelled
942,32,0.159369,0.000000,557.008,False,0.159369,23,0.159369,23,24,unlabelled
619,33,0.159216,0.000000,1031.361,False,0.159216,24,0.159216,24,25,unlabelled
592,34,0.159101,0.751323,0.000,True,0.099333,173,0.039565,182,151,unlabelled
458,35,0.159074,0.000000,810.055,False,0.159074,25,0.159074,25,26,unlabelled
371,36,0.158380,0.000000,425.319,False,0.158380,26,0.158380,26,27,unlabelled
1047,37,0.157854,0.000000,264.030,False,0.157854,27,0.157854,27,28,unlabelled
466,38,0.157679,0.000000,726.651,False,0.157679,28,0.157679,28,29,unlabelled
122,39,0.157437,0.390244,0.000,True,0.126718,145,0.095998,152,152,unlabelled
629,40,0.157427,0.000000,170.074,False,0.157427,29,0.157427,29,30,unlabelled
825,41,0.157279,0.000000,821.000,False,0.157279,30,0.157279,30,31,unlabelled
1087,42,0.156970,0.000000,42.012,False,0.156970,31,0.156970,31,32,unlabelled
906,43,0.156957,0.000000,741.968,False,0.156957,32,0.156957,32,33,unlabelled
607,44,0.156837,0.000000,1123.824,False,0.156837,33,0.156837,33,34,unlabelled
256,45,0.156510,0.000000,47.074,False,0.156510,34,0.156510,34,35,unlabelled
887,46,0.156334,0.709302,0.000,True,0.100890,171,0.045446,178,153,unlabelled
1051,47,0.156257,0.000000,301.000,False,0.156257,35,0.156257,35,36,unlabelled
85,48,0.155760,0.000000,109.165,False,0.155760,36,0.155760,36,37,unlabelled
292,49,0.155453,0.000000,553.231,False,0.155453,37,0.155453,37,38,unlabelled
34,50,0.155375,0.086420,0.000,True,0.148661,64,0.141947,89,39,unlabelled
