row,col,generation,x,y,z,detector_evaluable,evaluation_state,gt_sector,distance_to_reference,signed_normal_offset,review,confidence,drift_score,switch_score,chosen_offset,geom_offset
2,2,5,156.824142,121.227440,149.906418,0,not_evaluated,0,2.6967269,-2.6784376,,,,,,
2,3,5,164.983398,126.183052,146.821533,0,not_evaluated,0,2.4109551,-2.1566603,,,,,,
2,4,5,173.427094,130.872833,144.093719,0,not_evaluated,0,1.3825354,-1.3328436,,,,,,
2,5,5,181.173264,136.119843,140.398483,0,not_evaluated,0,1.8062977,-1.6215744,,,,,,
2,6,5,189.906433,140.613220,138.127777,0,not_evaluated,0,0.41794779,0.21182517,,,,,,
2,7,5,197.753998,145.820892,134.522415,0,not_evaluated,0,0.5662896,-0.41522472,,,,,,
2,8,5,205.228378,151.307236,130.604507,0,not_evaluated,0,0.91989576,-0.8640184,,,,,,
2,9,5,213.375900,156.391037,127.467636,0,not_evaluated,0,0.76001464,-0.37830051,,,,,,
2,10,5,222.254181,160.943954,125.260323,0,not_evaluated,0,0.36812617,0.34648794,,,,,,
2,11,5,230.322296,166.101593,122.386993,0,not_evaluated,0,1.4275667,1.2661748,,,,,,
3,2,5,154.622940,128.805771,156.104553,0,not_evaluated,0,1.8295862,-1.7293679,,,,,,
3,3,4,162.991318,133.560974,153.295441,1,reviewed,0,0.90065043,-0.76418763,1,0.91825253,7.5,1,-7.5,0.65397978
3,4,4,171.081497,138.529312,150.094513,1,reviewed,0,1.0237654,-0.41140482,1,0.96555257,9.5,1,-9.5,-0.27557945
3,5,4,179.149536,143.498886,146.899780,1,reviewed,0,0.53037006,-0.21565103,1,0.99049729,4,1,-4,0.076021671
3,6,4,187.530258,148.236542,144.115906,1,reviewed,0,0.53855689,-0.26289109,1,0.96125782,7,1,-7,-0.30993748
3,7,4,195.428146,153.398758,140.649521,1,reviewed,0,0.68202113,-0.16670119,1,0.98619592,4,1,-4,-0.11043262
3,8,4,203.419266,158.530304,137.225403,1,reviewed,0,0.66873356,0.61002896,1,0.47344819,7.5,1,7.5,0.70654964
3,9,4,211.512573,163.606552,134.180069,1,reviewed,0,0.6517752,0.027570032,1,0.7899828,9.5,1,-9.5,0.70557976
3,10,4,219.431900,168.773270,130.813843,1,reviewed,0,0.52210994,0.2079999,1,0.96242392,0,1,-0.5,-0.30060863
3,11,5,227.005737,174.187561,127.280586,0,not_evaluated,0,0.33755103,0.14216599,,,,,,
4,2,5,152.756256,136.038330,162.783249,0,not_evaluated,0,0.32842247,-0.30825625,,,,,,
4,3,4,160.609497,141.207596,159.316025,1,reviewed,0,0.54356253,-0.078086545,1,0.99405098,9,1,-9,-0.047592402
4,4,3,168.900284,146.020966,156.365326,1,reviewed,0,0.37927023,0.19991666,1,0.99570596,7.5,1,-7.5,-0.034352541
4,5,3,176.736893,151.190018,152.839676,1,reviewed,0,0.36198894,-0.33932752,1,0.93550372,3,1,-3,-0.51597023
4,6,3,185.149384,155.895050,150.108109,1,reviewed,0,1.1202309,0.62110463,1,0.96075064,1,1,1,-0.31399488
4,7,3,193.194321,160.914780,146.875992,1,reviewed,0,0.24576627,0.054665777,1,0.74855578,0,1,-0.5,0.047600746
4,8,3,201.362503,165.860199,143.846970,1,reviewed,0,0.93183169,0.85181056,1,0.40701559,0,1,0.5,0.55312252
4,9,3,209.420685,170.961365,140.708496,1,reviewed,0,0.82488491,0.7370379,1,0.89831495,10.5,1,-10.5,0.81348038
4,10,4,217.471542,176.049515,137.459137,1,reviewed,0,1.156106,1.0283077,1,0.70316428,2.5,1,-2.5,1.6263638
4,11,5,225.155914,181.386581,133.904587,0,not_evaluated,0,0.9960079,0.50286478,,,,,,
5,2,5,150.442902,143.637039,168.930405,0,not_evaluated,0,0.57684131,0.32684583,,,,,,
5,3,4,158.556961,148.584045,165.735886,1,reviewed,0,0.95437381,0.45956789,1,0.84425998,4,1,-4,0.043923348
5,4,3,166.542328,153.666199,162.378372,1,reviewed,0,0.7407485,0.7136662,1,0.95269793,9,1,-9,-0.22094584
5,5,2,174.608673,158.649918,159.172928,1,reviewed,0,0.72314913,0.60985117,1,0.98920459,5.5,1,-5.5,-0.086363316
5,6,2,182.749146,163.592239,156.066879,1,reviewed,0,1.1693708,0.82675524,1,0.82501251,5,1,-5,-0.23702478
5,7,2,191.035568,168.388718,153.189865,1,reviewed,0,1.3381742,1.1597438,1,0.35489374,2.5,1,2.5,0.031023026
5,8,2,199.304260,173.213898,150.337875,1,reviewed,0,1.8806269,1.5240246,1,0.45206374,1,1,1,0.42984819
5,9,3,207.579102,178.117111,147.461182,1,reviewed,0,2.3255335,2.2833286,1,0.68026203,1,1,1,0.77313042
5,10,4,215.810165,182.999207,144.462540,1,reviewed,0,2.5332407,2.4970716,1,0.4863393,1.5,1,1.5,2.2797236
5,11,5,223.400253,188.433075,140.777054,0,not_evaluated,0,2.2404857,2.0774029,,,,,,
6,2,5,147.794678,151.609055,174.480560,0,not_evaluated,0,1.0076156,0.91302355,,,,,,
6,3,4,156.047684,156.336807,171.498047,1,reviewed,0,1.2079449,0.76454685,1,0.94991326,3,1,-3,0.40069389
6,4,3,164.401733,161.067780,168.757675,1,reviewed,0,2.0297406,1.8901699,1,0.93505037,5.5,1,-5.5,0.51959717
6,5,2,172.341888,166.161621,165.440735,1,reviewed,0,1.7016121,1.5750556,1,0.99324548,3.5,1,-3.5,-0.054036349
6,6,1,180.548096,171.002106,162.378448,1,reviewed,0,2.0728543,1.8222839,1,0.71518958,6,1,-6,-0.060592175
6,7,1,188.830383,175.924545,159.437943,1,reviewed,0,1.9783372,1.9643684,1,0.48385802,3,1,-3,-0.074071169
